time,local_total,binance_realized,total
2025-10-18 00:01:24,-12.81,0.00,-12.81
2025-10-18 00:01:32,-12.81,0.00,-12.81
2025-10-18 00:01:32,-12.81,0.00,-12.81
2025-10-18 00:01:32,-12.81,0.00,-12.81
2025-10-18 00:01:33,-12.81,0.00,-12.81
2025-10-18 00:07:15,-12.81,0.00,-12.81
2025-10-18 00:07:15,-12.81,0.00,-12.81
2025-10-18 00:07:15,-12.81,0.00,-12.81
2025-10-18 00:07:21,-12.81,0.00,-12.81
2025-10-18 00:12:48,-12.81,0.00,-12.81
2025-10-18 00:12:49,-12.81,0.00,-12.81
2025-10-18 00:12:49,-12.81,0.00,-12.81
2025-10-18 00:12:53,-12.81,0.00,-12.81
2025-10-20 21:42:42,0.00,0.00,0.00
